City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,saldanha,-33.0117,17.9442,290.18,88,13,2.4,ZA,1683398349
263,iola,37.9245,-95.4,305.59,48,0,8.23,US,1683398138
264,isangel,-19.55,169.2667,296.21,94,20,0.0,VU,1683398350
265,nantucket,41.2835,-70.0995,295.23,48,0,5.14,US,1683398322
266,kavaratti,10.5669,72.642,301.86,67,97,3.78,IN,1683398350
267,maun,-19.9833,23.4167,295.05,27,3,1.94,BW,1683398350
268,sandnessjoen,66.0217,12.6316,282.21,40,0,1.03,NO,1683398350
269,willemstad,12.1084,-68.9335,303.1,66,75,8.23,CW,1683398165
270,penzance,50.1186,-5.5371,287.53,82,89,4.15,GB,1683398351
271,bangui,4.3612,18.555,302.25,70,20,2.06,CF,1683398351
272,lazaro cardenas,17.9583,-102.2,304.49,54,5,5.65,MX,1683398351
273,guaruja,-23.9931,-46.2564,301.07,69,20,3.6,BR,1683398331
274,broome,42.2506,-75.833,293.17,43,40,4.12,US,1683398352
275,lebu,-37.6167,-73.65,287.39,80,7,6.57,CL,1683398352
276,atherton,53.5237,-2.4935,288.65,86,98,2.24,GB,1683398103
277,ticul,20.4,-89.5333,312.86,18,86,3.05,MX,1683398352
278,pandan,14.0453,124.1694,299.16,88,10,2.98,PH,1683398352
279,port saint john's,-31.6229,29.5448,293.36,84,100,1.85,ZA,1683398353
280,port mathurin,-19.6833,63.4167,299.34,73,4,8.38,MU,1683398353
281,port-vila,-17.7338,168.3219,295.93,94,40,1.03,VU,1683398353
282,carahue,-38.7,-73.1667,289.92,63,5,2.46,CL,1683398353
283,palikir - national government center,6.9248,158.1611,301.16,75,100,2.93,FM,1683398353
284,port macquarie,-31.4333,152.9167,284.76,73,100,1.79,AU,1683398354
285,palmer,42.1584,-72.3287,296.53,31,40,2.24,US,1683398354
286,copiapo,-27.3667,-70.3333,289.98,34,0,3.35,CL,1683398354
287,thayetmyo,19.3167,95.1833,303.0,58,5,2.61,MM,1683398354
288,betanzos,43.2804,-8.2147,293.51,78,20,4.12,ES,1683398355
289,hithadhoo,-0.6,73.0833,301.58,75,100,8.06,MV,1683398355
290,santiago de cao,-7.9589,-79.2392,299.22,73,88,6.17,PE,1683398355
291,roma,43.2128,-75.4557,293.0,46,75,5.14,US,1683398166
292,mossel bay,-34.1831,22.146,287.11,83,2,2.83,ZA,1683398356
293,taroa,8.7058,171.2275,300.94,82,93,7.45,MH,1683398356
294,altai,46.3722,96.2583,274.0,86,100,6.78,MN,1683398356
295,hilo,19.7297,-155.09,298.29,84,40,0.89,US,1683398152
296,paredon,16.0333,-93.8667,306.47,59,37,5.91,MX,1683398357
297,amahai,-3.3333,128.9167,299.82,87,66,1.56,ID,1683398357
298,puerto leguizamo,-0.1934,-74.7819,301.89,76,50,0.79,CO,1683398357
299,lorengau,-2.0226,147.2712,300.68,79,24,2.1,PG,1683398357
300,kushiro,42.975,144.3747,275.56,87,100,2.42,JP,1683398358
301,sabang,5.8933,95.3214,300.96,80,100,8.95,ID,1683398358
302,andalgala,-27.5819,-66.3165,289.22,50,37,2.56,AR,1683398358
303,iquitos,-3.7481,-73.2472,298.17,94,100,3.09,PE,1683398358
304,costa rica,-23.4167,-54.65,299.31,75,100,2.52,BR,1683398359
305,ed damer,17.5928,33.9592,307.84,6,28,5.07,SD,1683398359
306,toccoa,34.5773,-83.3324,293.95,63,35,2.67,US,1683398359
307,zdolbuniv,50.5206,26.2425,280.95,58,100,7.73,UA,1683398359
308,saint john's,47.5649,-52.7093,279.14,86,100,6.17,CA,1683398290
309,bikenibeu village,1.3673,173.1241,300.13,89,75,2.57,KI,1683398360
310,mejit,10.2753,170.8646,300.54,80,100,8.13,MH,1683398360
311,ueckermunde,53.7379,14.0447,282.18,87,100,4.12,DE,1683398361
312,nouadhibou,20.931,-17.0347,295.14,64,0,11.32,MR,1683398361
313,kombissiri,12.0656,-1.3375,312.14,24,64,5.05,BF,1683398361
314,ingeniero jacobacci,-41.3427,-69.5448,289.9,32,31,1.43,AR,1683398361
315,yunyang,33.4474,112.7142,286.98,57,100,4.43,CN,1683398361
316,visakhapatnam,17.69,83.2093,301.09,74,75,1.03,IN,1683398362
317,canon city,38.441,-105.2424,295.94,16,0,6.17,US,1683398162
318,nanao,37.05,136.9667,289.42,97,100,4.52,JP,1683398355
319,lompoc,34.6391,-120.4579,294.27,63,75,4.12,US,1683398280
320,queenstown,-31.8976,26.8753,289.04,65,81,2.14,ZA,1683398362
321,ta`u,-14.2336,-169.5144,301.06,72,2,4.75,AS,1683398363
322,shivpuri,25.4333,77.65,302.32,33,56,0.36,IN,1683398363
323,bandar lampung,-5.4254,105.258,297.8,91,100,2.08,ID,1683398363
324,richfield,44.8833,-93.283,290.47,84,100,6.69,US,1683398363
325,port alfred,-33.5906,26.891,289.92,91,28,1.34,ZA,1683398363
326,sola,-13.8833,167.55,298.52,94,75,0.0,VU,1683398364
327,ceeldheer,3.8488,47.1806,300.86,82,100,6.71,SO,1683398364
328,tshabong,-26.05,22.45,297.66,26,85,2.5,BW,1683398364
329,myeik,12.4333,98.6,301.75,79,100,2.74,MM,1683398364
330,weno,7.4515,151.8468,299.12,94,100,0.0,FM,1683398365
331,ganghwa-gun,37.7472,126.4856,285.16,63,100,3.94,KR,1683398365
332,moranbah,-22.0016,148.0466,290.71,92,97,3.26,AU,1683398365
333,durban,-29.8579,31.0292,300.66,70,100,8.8,ZA,1683398311
334,sao joao da barra,-21.6403,-41.0511,301.2,72,13,4.45,BR,1683398144
335,mitu,1.1983,-70.1733,305.88,48,100,1.39,CO,1683398366
336,babolsar,36.7025,52.6576,290.33,73,0,3.85,IR,1683398366
337,alagoinhas,-12.1356,-38.4192,300.14,71,30,3.37,BR,1683398366
338,new norfolk,-42.7826,147.0587,276.44,79,5,1.12,AU,1683398366
339,dieppe,49.75,1.1667,289.44,84,100,4.37,FR,1683398118
340,riachao das neves,-11.7461,-44.91,307.44,26,11,2.72,BR,1683398367
341,nar'yan-mar,67.6713,53.087,264.56,94,9,3.81,RU,1683398367
342,porto novo,6.4965,2.6036,301.05,76,100,3.12,BJ,1683398367
343,shimokizukuri,40.8061,140.3861,282.01,84,100,3.34,JP,1683398355
344,walvis bay,-22.9575,14.5053,288.68,82,0,1.54,NA,1683398368
345,severnoye,56.3491,78.3619,287.03,35,24,1.74,RU,1683398368
346,sorong,-0.8833,131.25,299.57,87,65,2.18,ID,1683398368
347,temerluh,3.4506,102.4176,298.14,98,100,0.63,MY,1683398368
348,shalqar,47.8333,59.6,290.38,21,100,2.65,KZ,1683398368
349,cohasset,42.2418,-70.8037,297.36,30,0,3.09,US,1683398369
350,tobelo,1.7284,128.0095,299.93,83,80,1.3,ID,1683398369
351,xam nua,20.4197,104.0439,296.88,57,0,1.51,LA,1683398369
352,tra vinh,9.9347,106.3453,301.0,75,85,2.03,VN,1683398369
353,revda,56.801,59.9303,285.35,49,40,3.12,RU,1683398370
354,pacific grove,36.6177,-121.9166,290.6,71,40,5.14,US,1683398370
355,qusmuryn,52.4503,64.6311,290.33,33,6,3.98,KZ,1683398370
356,ust-tsilma,65.441,52.1498,268.8,94,95,4.57,RU,1683398370
357,kerikeri,-35.2268,173.9474,290.76,95,100,3.57,NZ,1683398370
358,artesia,33.8658,-118.0831,294.53,62,40,4.12,US,1683398371
359,yanahuanca,-10.5167,-76.4986,283.78,60,91,3.63,PE,1683398371
360,westport,41.1415,-73.3579,296.08,35,20,4.12,US,1683398210
361,bodo,67.28,14.405,280.17,39,0,1.03,NO,1683398371
362,tolanaro,-25.0319,46.9987,295.19,88,75,4.12,MG,1683398372
363,mount gambier,-37.8333,140.7667,280.38,78,100,2.01,AU,1683398372
364,gulf shores,30.246,-87.7008,299.42,67,94,1.79,US,1683398152
365,antonio enes,-16.2325,39.9086,297.75,66,83,3.37,MZ,1683398372
366,stony plain,53.5334,-114.0021,291.9,40,21,3.13,CA,1683398239
367,rawson,-43.3002,-65.1023,294.86,33,4,4.55,AR,1683398373
368,lakatoro,-16.0999,167.4164,298.47,85,2,2.35,VU,1683398373
369,ulsteinvik,62.3432,5.8487,285.65,58,85,0.45,NO,1683398373
370,chifeng,42.2683,118.9636,282.44,37,2,3.08,CN,1683398327
371,frutigen,46.5878,7.6475,293.14,86,99,0.71,CH,1683398373
372,el matama,16.7095,33.3565,308.95,6,11,4.7,SD,1683398374
373,bee cave,30.3085,-97.945,304.81,70,100,4.47,US,1683398374
374,mastung,29.7994,66.845,289.86,15,0,5.67,PK,1683398374
375,pithoro,25.5167,69.3833,305.09,40,39,7.8,PK,1683398374
376,khandyga,62.6667,135.6,274.64,96,100,4.16,RU,1683398375
377,gremda,34.75,10.7833,294.26,64,40,3.6,TN,1683398375
378,harper,4.375,-7.7169,300.35,81,79,3.64,LR,1683398375
379,chibougamau,49.9168,-74.3659,291.94,26,20,5.66,CA,1683398375
380,chabahar,25.2919,60.643,301.18,70,3,3.15,IR,1683398375
381,camocim,-2.9022,-40.8411,302.85,72,13,3.68,BR,1683398376
382,patong,7.8961,98.2966,304.27,99,100,4.58,TH,1683398376
383,mangrol,21.1167,70.1167,300.62,78,4,5.75,IN,1683398376
384,grand-bassam,5.2118,-3.7388,302.13,79,13,3.21,CI,1683398376
385,morondava,-20.2833,44.2833,296.89,79,0,5.43,MG,1683398377
386,vuokatti,64.146,28.2697,278.07,86,97,0.45,FI,1683398377
387,ulaangom,49.9811,92.0667,281.13,24,100,1.73,MN,1683398377
388,fauske,67.2588,15.3918,280.17,58,75,0.07,NO,1683398377
389,yuzhno-kurilsk,44.0306,145.8556,274.55,85,100,2.84,RU,1683398378
390,aykhal,66.0,111.5,264.37,94,100,6.54,RU,1683398378
391,bulgan,48.8125,103.5347,279.69,36,100,1.02,MN,1683398378
392,port augusta,-32.5,137.7667,282.56,67,6,2.43,AU,1683398378
393,anyksciai,55.5256,25.1026,275.19,60,6,3.68,LT,1683398379
394,uozu,36.8,137.4,287.93,98,100,3.62,JP,1683398379
395,usinsk,65.9939,57.5281,269.15,83,100,8.78,RU,1683398379
396,hadibu,12.65,54.0333,301.97,77,1,0.82,YE,1683398379
397,namie,37.4833,141.0,292.44,93,100,6.73,JP,1683398380
398,camana,-16.6228,-72.7111,294.58,76,99,4.0,PE,1683398380
399,topeka,39.0483,-95.678,305.66,54,0,7.72,US,1683398380
400,verkhniy mamon,50.1635,40.3832,280.51,61,99,6.71,RU,1683398380
401,tenosique,17.4833,-91.4333,312.21,23,100,5.9,MX,1683398381
402,tlapa de comonfort,17.55,-98.55,308.03,23,18,1.91,MX,1683398250
403,howrah,22.5892,88.3103,303.15,74,20,3.6,IN,1683398207
404,belel,7.05,14.4333,292.33,75,50,0.77,CM,1683398381
405,conceicao das alagoas,-19.9147,-48.3883,304.03,45,82,1.77,BR,1683398382
406,darwin,-12.4611,130.8418,299.14,89,6,1.03,AU,1683398382
407,vadso,70.0744,29.7487,278.64,65,50,0.0,NO,1683398382
408,colares,38.7992,-9.4469,294.7,75,20,5.81,PT,1683398382
409,kingston,17.997,-76.7936,303.68,80,40,9.77,JM,1683398348
410,nizhniy odes,63.6445,54.856,273.24,97,100,5.57,RU,1683398383
411,griffith,41.5284,-87.4237,295.64,60,75,6.69,US,1683398383
412,kendari,-3.945,122.4989,297.34,94,93,1.52,ID,1683398383
413,fort st. john,56.2499,-120.8529,290.09,34,100,11.32,CA,1683398241
414,murzuq,25.9155,13.9184,298.13,16,0,3.3,LY,1683398384
415,francistown,-21.17,27.5079,294.06,35,0,4.4,BW,1683398384
416,hovd,48.0056,91.6419,276.8,79,100,1.79,MN,1683398384
417,parli vaijnath,18.85,76.5333,303.85,42,100,1.86,IN,1683398384
418,souillac,-20.5167,57.5167,299.36,78,75,4.12,MU,1683398385
419,qarshi,38.8667,65.8,289.05,63,0,3.09,UZ,1683398385
420,inarajan village,13.2736,144.7484,300.69,92,100,4.35,GU,1683398385
421,kharp,66.8014,65.8081,264.63,92,99,2.56,RU,1683398385
422,bedele,8.456,36.353,288.01,91,100,0.71,ET,1683398385
423,phillaur,31.0292,75.7842,295.28,44,0,3.72,IN,1683398386
424,chateaudun,48.0833,1.3333,293.23,96,100,3.87,FR,1683398386
425,meulaboh,4.1363,96.1285,298.25,93,100,2.87,ID,1683398386
426,mao,39.8885,4.2658,292.46,77,0,4.12,ES,1683398386
427,chachapoyas,-6.2317,-77.869,290.8,83,99,0.98,PE,1683398386
428,mglin,53.0591,32.8475,274.29,56,20,2.56,RU,1683398387
429,arraial do cabo,-22.9661,-42.0278,300.13,65,20,5.14,BR,1683398387
430,hammerfest,70.6634,23.6821,276.4,65,0,3.6,NO,1683398247
431,torredembarra,41.1451,1.3986,296.41,74,0,0.51,ES,1683398387
432,tsiombe,-25.3,45.4833,293.62,89,1,1.58,MG,1683398388
433,bozkurt,41.9577,34.0109,286.81,70,100,0.1,TR,1683398388
434,oriximina,-1.7656,-55.8661,302.6,74,100,0.61,BR,1683398388
435,ilgin,38.2792,31.9139,283.79,85,100,2.04,TR,1683398389
436,morden,49.1919,-98.1014,286.53,62,100,5.66,CA,1683398163
437,itoman,26.1247,127.6694,298.37,88,75,7.2,JP,1683398389
438,happy valley-goose bay,53.3168,-60.3315,287.32,23,75,1.54,CA,1683398389
439,pangoa,-12.1167,-73.0,302.14,54,50,1.75,PE,1683398390
440,quellon,-43.1167,-73.6167,285.29,87,100,5.66,CL,1683398390
441,cabo san lucas,22.8909,-109.9124,302.93,52,40,5.66,MX,1683398149
442,santa cruz,-17.8,-63.1667,291.85,88,75,4.12,BO,1683398391
443,chinde,26.8418,88.0763,291.0,48,0,2.55,NP,1683398391
444,baiyin,36.5583,104.2081,282.24,67,100,5.77,CN,1683398391
445,soeng sang,14.4264,102.4606,300.98,70,99,2.66,TH,1683398391
446,tashtagol,52.7657,87.8894,281.88,78,5,1.36,RU,1683398392
447,fort bragg,35.139,-79.006,299.54,37,75,1.54,US,1683398392
448,qarah bagh,34.9402,61.7759,287.86,34,0,1.75,AF,1683398392
